text,user_id_hashed,war,ua,ru,datetime,media
"Чтобы вы подавились , черти продажные .",44bd569299603b5c8b5ece603fc7ef4a,0.9999957,0.0004109041,0.99958915,2022-02-22 01:22:05,Eho Moskvy
"[id4a7604aba4d5c391577b23d20b503b48|Микаэл], он не просто предлагал смыть восточное побережье, а устроить пролив между Канадой и Мексикой, от Атлантики, до Тихого океана, а после, будучи обиженным, ""пошел от обратного"" (действия 5-ти-летнего ребенка)...😉",9ae984814c0ef19a590cda873a221032,0.9999938,0.40301764,0.59698236,2022-02-21 15:15:39,Eho Moskvy
"[id9ae984814c0ef19a590cda873a221032|Николай], так он еще и милиаратор?",40de0ecf13d5e85ea611e5f968f72ad3,0.9999771,0.10294969,0.8970503,2022-02-21 17:30:35,Eho Moskvy
"[id40de0ecf13d5e85ea611e5f968f72ad3|Евгений], шутка хорошая, но, по факту, дитятко просто обиделось, что его гениальное изобретение (термоядерную бомбу) не применили по назначению и начал ""действовать от обратного""...",9ae984814c0ef19a590cda873a221032,0.9999938,0.40301764,0.59698236,2022-02-21 17:33:04,Eho Moskvy
"[id9ae984814c0ef19a590cda873a221032|Николай], не обиделся он, его супруга сметным боем била... Не выдержал.",40de0ecf13d5e85ea611e5f968f72ad3,0.9999771,0.10294969,0.8970503,2022-02-21 17:41:22,Eho Moskvy
Путин просто   спас русских за пределами России. Наплевав на  мнение  зарубежных фарисеев.,11c8fea526dc0a941b737cdec90b82b2,0.99999225,0.76339954,0.2366005,2022-02-22 20:21:34,Eho Moskvy
"Все кто против, уже давно не живут в этих недореспубликах. Очнись, Айдар и включи мозги.",b4418f53e90c46cf99c804829ca8ec03,0.99999535,0.51062906,0.489371,2022-02-22 20:25:30,Eho Moskvy
Каждому эвакуированному  выдать гектар в Заполярье,689f324c4a6b5bac02e0d4dc4f91e051,2.1049818e-06,0.008478635,0.99152136,2022-02-22 20:25:40,Eho Moskvy
"а с чего бы им быть против? Они ж как крымчане тогда думают - во, щас заживём сыто и клёво, как в рашке! Только они эту жизнь в рашке знают по картинкам федеральных каналов, им невдомёк, что здесь свои-то люди никому нах не нужны, а они - тем более!",007cc3fa944c18270afc41c76f03314f,0.99999404,0.2931706,0.70682937,2022-02-22 20:29:10,Eho Moskvy
"[id689f324c4a6b5bac02e0d4dc4f91e051|Сергей], зачем в Заполярье? у нас есть ""Дальневосточный гектар"", так что не пугайте. Но и это не понадобится, события разворачиваются с большой скоростью, люди скоро вернутся домой",900c7141401bca857b0f5a035f5386b0,0.9999827,0.44310358,0.55689645,2022-02-22 20:30:13,Eho Moskvy
газпромовские пропагандисты бандеровских террористов 👎🏻👎🏻👎🏻,a5de216b41193b0d88b26102ad627476,0.99999166,0.47459528,0.52540475,2022-02-22 20:15:47,Eho Moskvy
ну не все же,7a4eb64837ee805b1d495bfceaf9a9ef,0.9999087,0.14724565,0.8527544,2022-02-22 20:19:24,Eho Moskvy
а че Украина красная?,0a743959a9e3f599e5b0134b8fb3607e,0.9999962,0.00043738497,0.99956256,2022-02-22 19:58:45,Eho Moskvy
"все кто сегодня воздержался, завтра признают, мир меняется",2f6fbf7fff618e5aa20cfdff864cac1f,0.9999963,0.00010355173,0.9998964,2022-02-22 20:04:05,Eho Moskvy
башар асад и путин,f6821ab37195e832316158c434b2683c,0.9999963,0.98899555,0.0110044805,2022-02-22 20:20:37,Eho Moskvy
Путин молодец ! Спас русских от геноцида.,11c8fea526dc0a941b737cdec90b82b2,0.99999225,0.76339954,0.2366005,2022-02-22 20:23:01,Eho Moskvy
"[id0a743959a9e3f599e5b0134b8fb3607e|Gregory], как жопа у Путина изза того что она с ним дружить не хочет :)",f6821ab37195e832316158c434b2683c,0.9999963,0.98899555,0.0110044805,2022-02-22 19:59:55,Eho Moskvy
"[id0a743959a9e3f599e5b0134b8fb3607e|Gregory], потому что они осудили",5be5b659e6f82481d5d97f7e1f2ebc06,0.9999964,6.2232444e-05,0.9999378,2022-02-22 20:01:00,Eho Moskvy
"[id0a743959a9e3f599e5b0134b8fb3607e|Gregory], а че Россия и Китай желтосинии?)))))",2f6fbf7fff618e5aa20cfdff864cac1f,0.9999963,0.00010355173,0.9998964,2022-02-22 20:03:20,Eho Moskvy
"[id2f6fbf7fff618e5aa20cfdff864cac1f|Дмитрий], 🤣🤣🤣🤣🤣 действительно",0a743959a9e3f599e5b0134b8fb3607e,0.9999962,0.00043738497,0.99956256,2022-02-22 20:05:03,Eho Moskvy
